Winery,Wine name,Vintage,Region,Country,Regional wine style,Average rating,Scan date,Scan/Review Location,Your rating,Your review,Personal Note,Wine type,Drinking Window,Wishlisted date,Cellar count,Link to wine,Label image,Wine price
Willowbrook,Estate Grown Pinot Noir,2013,Russian River Valley,United States,Californian Pinot Noir,3.77,2019-04-14 00:38:27,,3.5,,,Red Wine,,,,https://www.vivino.com/wines/156217983,https://images.vivino.com/labels/HXkORrrqQPmerTmnCzuG3g.jpg,
I Castelli di Romeo e Giulietta,Bardolino,9999,Bardolino,Italy,Northern Italy Red,3.23,2019-03-28 18:53:08,,3.0,,,Red Wine,,,,https://www.vivino.com/wines/4433694,https://images.vivino.com/labels/Kxjmg2jfQbq5w5XqNlcr3g.jpg,
Celaya,Bayanegra Tempranillo,2017,Castilla,Spain,Spanish Tempranillo,3.60,2019-03-02 23:45:09,,3.0,,,Red Wine,,,,https://www.vivino.com/wines/150902852,https://images.vivino.com/labels/Mzc44Vr9QdiRXtCP3Sjpig.jpg,
Cono Sur,Reserva Especial Carmenère,2014,Cachapoal Valley,Chile,Chilean Carménère,3.65,2019-02-24 22:52:34,,3.0,,,Red Wine,,,,https://www.vivino.com/wines/10959152,https://images.vivino.com/labels/XvITsET7Qz2XI7Z47RK_7Q.jpg,
Albert Bichot,Bourgogne Pinot Noir (Vieilles Vignes),2015,Bourgogne,France,Burgundy Red,3.50,2018-12-29 15:41:39,,4.5,,,Red Wine,,,,https://www.vivino.com/wines/14273270,https://images.vivino.com/labels/eA-L0eHbS72FFUSPPRtW9Q.jpg,
Col Brioso,Gran Cuvée Extra Dry,8888,Prosecco,Italy,Italian Prosecco,3.58,2018-12-21 23:03:12,,3.0,,,Sparkling,,,,https://www.vivino.com/wines/152392933,https://images.vivino.com/labels/jFay58HSQ6OhPJpUs9mxrw.jpg,
Emiliana,Coyam,2014,Colchagua Valley,Chile,,4.16,2018-11-17 16:33:50,,4.0,,,Red Wine,,,,https://www.vivino.com/wines/3981857,https://images.vivino.com/labels/kL6eLWV8SUCA7qjrB3DECw.jpg,
Caro (Catena and Rothschild),Amancaya Gran Reserva Malbec - Cabernet Sauvignon,2014,Mendoza,Argentina,Argentinian Cabernet Sauvignon - Malbec,3.91,2018-10-27 18:39:42,,4.0,,,Red Wine,,,,https://www.vivino.com/wines/4594320,https://images.vivino.com/labels/4TysRCbTRgWuRe7YVyNT2Q.jpg,
Luigi Bosca,Gala 4 Red Blend,2015,Lujan de Cuyo,Argentina,,4.06,2018-09-29 23:36:45,,3.5,,,Red Wine,,,,https://www.vivino.com/wines/16252381,https://images.vivino.com/labels/zvsr25IzR_KmBYgq9qtBAA.jpg,
Schubert,Pinot Noir,2009,Wairarapa,New Zealand,New Zealand Pinot Noir,3.86,2018-09-25 16:27:03,,4.0,,,Red Wine,,,,https://www.vivino.com/wines/2873733,https://images.vivino.com/labels/wKGa5ZUhRcCFiNmT-JoXzQ.jpg,
Almaúnica,Reserva Merlot,2013,Vale dos Vinhedos,Brazil,Brazilian Merlot,3.74,2018-09-20 23:42:05,,3.5,,,Red Wine,,,,https://www.vivino.com/wines/2389322,https://images.vivino.com/labels/8hibmM1WRxCHMwgjJbztnQ.jpg,
Don Laurindo,Tannat Reserva,2014,Vale dos Vinhedos,Brazil,,3.61,2018-09-16 23:34:44,,3.5,,,Red Wine,,,,https://www.vivino.com/wines/11485157,https://images.vivino.com/labels/4-stis7ERCenshuLjTyMkg.jpg,
Viña Olabarri,Gran Reserva,2010,Rioja,Spain,Spanish Rioja Red,3.99,2018-08-12 16:03:42,,4.0,,,Red Wine,,,,https://www.vivino.com/wines/5915887,https://images.vivino.com/labels/QI7Ka0XHT4aOyR4h8s9rJA.jpg,
Terrazas de los Andes,Altos del Plata Cabernet Sauvignon,2016,Mendoza,Argentina,Argentinian Cabernet Sauvignon,3.44,2018-07-22 23:51:27,,3.0,,,Red Wine,,,,https://www.vivino.com/wines/93023438,https://images.vivino.com/labels/06HJBHoCSXmQqY2y4mX9qA.jpg,
Luigi Bosca,Pinot Noir,2012,Maipu,Argentina,Argentinian Pinot Noir,3.80,2018-07-14 23:25:01,,3.0,,,Red Wine,,,,https://www.vivino.com/wines/2106398,https://images.vivino.com/labels/I5kmk93dTuesf1ViigPXsw.jpg,
Triade,Cabernet Sauvignon,2016,Mendoza,Argentina,,3.30,2018-07-07 22:10:30,,3.0,,,Red Wine,,,,https://www.vivino.com/wines/95189025,https://images.vivino.com/labels/DNyYhtgtR1CVj6K6ZBINZQ.jpg,
Miguel Torres,Hemisferio Reserva Carmenère,2015,Central Valley,Chile,Chilean Carménère,3.35,2018-07-01 23:23:44,,3.0,,,Red Wine,,,,https://www.vivino.com/wines/29155945,https://images.vivino.com/labels/GWGZ_g-tTqaDLFyAqpurpg.jpg,
Ironstone,Old Vine Zinfandel,2013,Lodi,United States,Californian Zinfandel,3.89,2018-05-12 23:59:01,,3.0,,,Red Wine,,,,https://www.vivino.com/wines/4339884,https://images.vivino.com/labels/VpnZ_lWiQZWOwwXjJ380nw.jpg,
Alamos,Malbec,2016,Mendoza,Argentina,Argentinian Malbec,3.62,2018-04-20 23:37:09,,3.0,,,Red Wine,,,,https://www.vivino.com/wines/86499344,https://images.vivino.com/labels/SbNf2Bd6Taq6T5CV69K5yQ.jpg,
Callia,Alta Malbec,2017,Tulum Valley,Argentina,Argentinian Malbec,3.37,2018-03-17 22:54:23,,3.0,,,Red Wine,,,,https://www.vivino.com/wines/150550977,https://images.vivino.com/labels/nkSz5QVaRv2f8B1Erws1aQ.jpg,
Torrevento,Primo Primitivo,2016,Puglia,Italy,Southern Italy Primitivo,3.61,2018-02-13 15:46:13,,3.5,,,Red Wine,,,,https://www.vivino.com/wines/143533211,https://images.vivino.com/labels/Nr3dVk3YSxahVts4Yf3rGQ.jpg,
Los Riscos,Cabernet Sauvignon,2016,Curico Valley,Chile,Chilean Cabernet Sauvignon,3.18,2018-01-27 20:46:44,,,,,Red Wine,,,,https://www.vivino.com/wines/99118949,https://images.vivino.com/labels/2wH7dxWsQJW7hhLu1mJk7Q.jpg,
Villa Magna,Cabernet Sauvignon,2015,Lontue Valley,Chile,Chilean Cabernet Sauvignon,3.83,2018-01-22 21:32:37,,3.5,,,Red Wine,,,,https://www.vivino.com/wines/153420876,https://images.vivino.com/labels/qkCLGmCnRM2vNIgWBFGddA.jpg,
Steakhouse,Brett Favre's Cabernet Sauvignon,2016,,,,3.13,2017-09-30 22:35:10,,,,,Red Wine,,,,https://www.vivino.com/wines/154556162,https://images.vivino.com/labels/hmTFCi4SSDiVv5RJ6w-odQ.jpg,
Errazuriz,Estate Carmenère,2016,Aconcagua Valley,Chile,Chilean Carménère,3.64,2017-09-02 00:36:52,,3.0,,,Red Wine,,,,https://www.vivino.com/wines/141348361,https://images.vivino.com/labels/B8ZGcdBMR0S3uN8V3ou2tQ.jpg,BRL 56
Anselmann,Dr. Lohbeck Scholoss Edeshein Pinot Noir Trocken,2012,Pfalz,Germany,German Spätburgunder,3.75,2017-08-27 16:15:37,,4.0,,,Red Wine,,,,https://www.vivino.com/wines/147414749,https://images.vivino.com/labels/r2j7ROy6TJyw8SnReYdIdw.jpg,
D.V. Catena,Malbec - Malbec,2014,Mendoza,Argentina,Argentinian Malbec,4.26,2017-08-24 00:32:28,,4.5,,,Red Wine,,,,https://www.vivino.com/wines/4568803,https://images.vivino.com/labels/QMGFXYcQSx-l9EYm4lhVpw.jpg,
Veramonte,Cabernet Sauvignon,2015,Colchagua Valley,Chile,Chilean Cabernet Sauvignon,3.35,2017-08-11 00:09:52,,3.0,,,Red Wine,,,,https://www.vivino.com/wines/17763422,https://images.vivino.com/labels/4o6Q7PrhR8KRgrTwRp8IvQ.jpg,
Poggio Orgoglio,Sangiovese,2015,Toscana,Italy,Central Italy Red,3.66,2017-07-24 00:21:12,,4.0,,,Red Wine,,,,https://www.vivino.com/wines/146188705,https://images.vivino.com/labels/FMY8pCNiQ7CIQOSKgGw4ww.jpg,
Carmen,Insigne Carmenère,2016,Rapel Valley,Chile,Chilean Carménère,3.61,2017-07-16 22:43:50,,3.5,,,Red Wine,,,,https://www.vivino.com/wines/141796432,https://images.vivino.com/labels/uqWp_SA1T9aMxyZfTZxMJA.jpg,
Bodega Uxmal,Syrah - Malbec,2016,Mendoza,Argentina,,3.46,2017-07-08 15:35:30,,3.0,,,Red Wine,,,,https://www.vivino.com/wines/111676021,https://images.vivino.com/labels/eA0dwlD1Tz-1bU8csJYbLQ.jpg,
Volada,Gran Reserva Cabernet Sauvignon,2015,Colchagua Valley,Chile,Chilean Cabernet Sauvignon,3.31,2017-07-07 00:37:10,,3.0,,,Red Wine,,,,https://www.vivino.com/wines/153415392,https://images.vivino.com/labels/ZBpWvrq7SaaQb6q6cBJpYg.jpg,
Carlos Serres,Rioja Crianza,2011,Rioja,Spain,Spanish Rioja Red,3.65,2017-06-25 22:57:54,,3.5,,,Red Wine,,,,https://www.vivino.com/wines/3189873,https://images.vivino.com/labels/qeaB9y8YS1OQed6k1PgcJg.jpg,
Leyda,Las Brisas Vineyard Pinot Noir,2014,Leyda Valley,Chile,Chilean Pinot Noir,3.71,2017-06-17 16:27:40,,4.0,,,Red Wine,,,,https://www.vivino.com/wines/4162670,https://images.vivino.com/labels/DIXPKsc1TwewbvDiA9pR_g.jpg,
Miguel Torres,Finca Negra Gran Reserva Cabernet Sauvignon,2012,Central Valley,Chile,Chilean Cabernet Sauvignon,3.42,2017-06-03 16:43:13,,3.0,,,Red Wine,,,,https://www.vivino.com/wines/1960103,https://images.vivino.com/labels/HubM8tkKQzmQBiOzo6KQRA.jpg,
Primus,The Blend,2014,Colchagua Valley,Chile,Chilean Bordeaux Blend,3.76,2017-05-28 22:50:16,,3.5,,,Red Wine,,,,https://www.vivino.com/wines/5178089,https://images.vivino.com/labels/R2hyEpxpTfeaw14tTPr8_w.jpg,
Loma Negra,Reserva Carmenère,2015,Colchagua Valley,Chile,Chilean Carménère,3.41,2017-05-20 22:04:42,,3.5,,,Red Wine,,,,https://www.vivino.com/wines/144391167,https://images.vivino.com/labels/3PCPKWy2RTylk_c3PjgdnA.jpg,
Viu Manent,Estate Collection Reserva Cabernet Sauvignon,2011,Colchagua Valley,Chile,Chilean Cabernet Sauvignon,3.45,2017-05-12 23:02:53,,4.0,,,Red Wine,,,,https://www.vivino.com/wines/2479810,https://images.vivino.com/labels/kNn7PhQSQw2EkdH4yX-rqQ.jpg,
Chacra,Mainqué Merlot,2010,Patagonia,Argentina,Argentinian Merlot,3.90,2017-04-21 00:35:48,,4.0,,,Red Wine,,,,https://www.vivino.com/wines/1742177,https://images.vivino.com/labels/L3_fOuukRi22lEJRPWfniA.jpg,
Salentein,Killka Malbec,2015,Uco Valley,Argentina,Argentinian Malbec,3.45,2017-03-19 23:36:25,,3.0,,,Red Wine,,,,https://www.vivino.com/wines/19801499,https://images.vivino.com/labels/wCC_U62uSt-kO6Fhsa3UVA.jpg,
Casa Marin,Lo Abarca Vineyard No. 1 Pinot Noir,2012,San Antonio Valley,Chile,Chilean Pinot Noir,3.95,2017-02-12 23:55:54,,4.0,,,Red Wine,,,,https://www.vivino.com/wines/5319610,https://images.vivino.com/labels/5arDQkhSRO6NqcoSsQ7Pbg.jpg,
D.V. Catena,Cabernet - Cabernet,2010,Mendoza,Argentina,Argentinian Cabernet Sauvignon,4.29,2016-11-13 16:05:56,,4.5,,,Red Wine,,,,https://www.vivino.com/wines/1416686,https://images.vivino.com/labels/VVL1wKhKTUu5qGpnybmQEA.jpg,
Casa Castillo,El Molar,2014,Jumilla,Spain,Spanish Grenache,3.71,2016-09-18 16:35:26,,3.5,,,Red Wine,,,,https://www.vivino.com/wines/35821548,https://images.vivino.com/labels/CYfeX2qOR6CGIjgLO7hXkA.jpg,
Doña Paula,Paula Malbec,2015,Lujan de Cuyo,Argentina,Argentinian Malbec,3.48,2016-08-04 16:25:20,,3.0,,,Red Wine,,,,https://www.vivino.com/wines/14733987,https://images.vivino.com/labels/dmK-xXcfT0KdlAOkJB2NeQ.jpg,
Alfredo Roca,Fincas Malbec,2014,San Rafael,Argentina,Argentinian Malbec,3.41,2016-07-29 22:12:44,,3.0,,,Red Wine,,,,https://www.vivino.com/wines/7102474,https://images.vivino.com/labels/3AgF0-gwRIqWINyDq2OC6A.jpg,
Catena,Cabernet Sauvignon,2013,Mendoza,Argentina,Argentinian Cabernet Sauvignon,3.86,2016-07-19 23:16:41,,4.0,,,Red Wine,,,,https://www.vivino.com/wines/2702819,https://images.vivino.com/labels/ZyKPxb3GRUaWF0N9sY4lWw.jpg,
Rutini,Trumpeter Malbec,2014,Mendoza,Argentina,Argentinian Malbec,3.69,2016-07-14 23:14:31,,3.0,,,Red Wine,,,,https://www.vivino.com/wines/4861190,https://images.vivino.com/labels/Vs2CF485RmCmQ3Otn8imWA.jpg,
Vistalba,Corte A,2009,Mendoza,Argentina,,4.35,2016-03-26 16:15:27,,4.5,,,Red Wine,,,,https://www.vivino.com/wines/1389900,https://images.vivino.com/labels/WVVHsFC7QXiSEcVYbY5voA.jpg,
Castiglion del Bosco,Brunello di Montalcino,2010,Brunello di Montalcino,Italy,Italian Brunello,4.22,2016-03-25 15:55:07,,4.5,😋😋😋,,Red Wine,,,,https://www.vivino.com/wines/1488269,https://images.vivino.com/labels/RsxuMPLCS76JVvvGNNoFyA.jpg,
Tarapacá,Terroir El Rosal Pinot Noir,2013,Casablanca Valley,Chile,Chilean Pinot Noir,3.57,2016-03-05 19:17:50,,,,,Red Wine,,,,https://www.vivino.com/wines/7300440,https://images.vivino.com/labels/VD9ouAVNRTybvSP01AO9KQ.jpg,
Doña Dominga,Carmenère,2013,Colchagua Valley,Chile,Chilean Carménère,3.29,2016-01-20 21:53:38,,3.0,,,Red Wine,,,,https://www.vivino.com/wines/3399761,https://images.vivino.com/labels/UlgJi_2USMGevRPXj237QA.jpg,BRL 40
Denis Race,Montmains Chablis 1er Cru,2014,Chablis 1er Cru 'Montmains',France,Burgundy Chablis,4.02,2015-12-31 14:55:55,,5.0,Um espumante sem o gás. Espetacular,,White Wine,,,,https://www.vivino.com/wines/53538406,https://images.vivino.com/labels/dGvW8AI5Ta2QNiAp62QoSQ.jpg,
Casillero del Diablo,Shiraz (Reserva),2012,Central Valley,Chile,Chilean Syrah,3.47,2015-11-07 22:10:52,,3.0,,,Red Wine,,,,https://www.vivino.com/wines/2051094,https://images.vivino.com/labels/z7DdWn9TQJWo_bBFkBGSCQ.jpg,
Passeport,Côtes-du-Rhône Syrah - Grenache,2013,Côtes-du-Rhône,France,Southern Rhône Red,3.53,2015-10-31 22:35:27,,3.5,,,Red Wine,,,,https://www.vivino.com/wines/3190676,https://images.vivino.com/labels/HBwoaH3SSvygRxkIhNXH1g.jpg,
Latitud 33,Malbec,2013,Mendoza,Argentina,Argentinian Malbec,3.38,2015-10-24 23:05:09,,3.0,,,Red Wine,,,,https://www.vivino.com/wines/2002056,https://images.vivino.com/labels/Xhbk7Tw3TYGwjdYw-iaIFg.jpg,
El Esteco,Don David Malbec,2012,Salta,Argentina,Argentinian Malbec,3.48,2015-10-03 23:50:00,,3.5,,,Red Wine,,,,https://www.vivino.com/wines/1713530,https://images.vivino.com/labels/02s0q14jnvhza.jpg,
Tarapacá,Gran Reserva Cabernet Sauvignon,2014,Maipo Valley,Chile,Chilean Cabernet Sauvignon,3.83,2015-09-11 00:24:15,,3.0,,,Red Wine,,,,https://www.vivino.com/wines/4335431,https://images.vivino.com/labels/02oq0x954um7z.jpg,
Goldridge Estate,Pinot Noir,2011,Marlborough,New Zealand,New Zealand Pinot Noir,3.30,,,1.5,Acidez além da conta,,Red Wine,,,,https://www.vivino.com/wines/1741900,,
Casillero del Diablo,Carmenere (Reserva),2013,Rapel Valley,Chile,Chilean Carménère,3.59,2015-08-09 22:36:17,,3.0,,,Red Wine,,,,https://www.vivino.com/wines/2152028,https://images.vivino.com/labels/02khc532xavje.jpg,
Lagarde,Altas Cumbres Malbec,2012,Lujan de Cuyo,Argentina,Argentinian Malbec,3.32,2015-07-18 22:02:45,,3.0,,,Red Wine,,,,https://www.vivino.com/wines/1918689,https://images.vivino.com/labels/02hedo4fji26z.jpg,
Concha y Toro,Gran Reserva Serie Riberas Carmenère,2013,Cachapoal Valley,Chile,Chilean Carménère,3.86,2015-07-04 22:54:50,,4.0,,,Red Wine,,,,https://www.vivino.com/wines/3511183,https://images.vivino.com/labels/02figy9aj437z.jpg,
Tarapacá,Gran Reserva Cabernet Sauvignon,2013,Maipo Valley,Chile,Chilean Cabernet Sauvignon,3.83,2015-06-29 00:07:01,,3.0,,,Red Wine,,,,https://www.vivino.com/wines/2259798,https://images.vivino.com/labels/02esedfkf0mle.jpg,
Nieto Senetiner,Reserva Malbec,2013,Mendoza,Argentina,Argentinian Malbec,3.52,2015-06-17 22:46:21,,3.0,,,Red Wine,,,,https://www.vivino.com/wines/2295207,https://images.vivino.com/labels/02d5h9p4k4jho.jpg,
H. Stagnari,Tannat Viejo,2010,Canelones,Uruguay,Uruguay Tannat,3.96,2015-06-05 21:43:36,,3.0,,,Red Wine,,,,https://www.vivino.com/wines/1434615,https://images.vivino.com/labels/02bjej8vnhxo5.jpg,
Hartenberg,Merlot,2008,Stellenbosch,South Africa,South African Merlot,3.91,2015-05-03 22:38:55,,3.5,,,Red Wine,,,,https://www.vivino.com/wines/2208550,https://images.vivino.com/labels/027212gyed6oh.jpg,
Château du Bois Chantant,Cuvée Laurence H Bordeaux Supérieur,2010,Bordeaux Supérieur,France,Bordeaux Red,3.56,2015-04-18 16:34:29,,4.0,!!!,,Red Wine,,,,https://www.vivino.com/wines/1402389,https://images.vivino.com/labels/024s6u1915qo8.jpg,
Terrazas de los Andes,Reserva Malbec,2011,Mendoza,Argentina,Argentinian Malbec,3.80,2015-03-01 23:30:27,,3.5,,,Red Wine,,,,https://www.vivino.com/wines/1440086,https://images.vivino.com/labels/01y6xc2zvtrpq.jpg,
Château Prieuré-Lichine,Le Cloître du Prieuré-Lichine Margaux,2008,Margaux,France,Bordeaux Margaux,3.91,2015-02-16 15:00:13,,4.0,,,Red Wine,,,,https://www.vivino.com/wines/1194608,https://images.vivino.com/labels/01w9lycyjkzej.jpg,
Amiot Guy,Bourgogne Pinot Noir,2011,Bourgogne,France,Burgundy Red,3.72,2015-02-16 01:13:01,,3.5,Pouca acidez e final adocicado.,,Red Wine,,,,https://www.vivino.com/wines/2188710,https://images.vivino.com/labels/01w84mwjff3tb.jpg,
Cousiño-Macul,Antiguas Reservas Merlot,2012,Maipo Valley,Chile,Chilean Merlot,3.54,2014-12-31 23:44:12,,3.0,,,Red Wine,,,,https://www.vivino.com/wines/2452008,https://images.vivino.com/labels/01pcqkxrhie7s.jpg,
Cousiño-Macul,Finis Terrae Cabernet Sauvignon - Merlot,2010,Maipo Valley,Chile,Chilean Bordeaux Blend,4.09,2014-12-25 16:08:10,,3.0,,,Red Wine,,,,https://www.vivino.com/wines/3076018,https://images.vivino.com/labels/01nduct7e1hio.jpg,BRL 116
Domaine Pavelot,Savigny-les-Beaune,2010,Savigny-lès-Beaune,France,Burgundy Côte de Beaune Red,3.84,2014-12-24 15:02:20,,3.0,,,Red Wine,,,,https://www.vivino.com/wines/1335508,https://images.vivino.com/labels/01mqag1lbvi6f.jpg,
Ventisquero,Reserva Carménère,2012,Colchagua Valley,Chile,Chilean Carménère,3.58,2014-11-09 22:25:45,,3.0,"Um vinho agradável, mas não tão leve quanto esperava de um Carmenere.",,Red Wine,,,,https://www.vivino.com/wines/2304410,https://images.vivino.com/labels/01fr6ckvjovjh.jpg,
